"","GEOID","NAME","CT_num","county","state","med_income"
"1","36005000100","Census Tract 1, Bronx County, New York","Census Tract 1"," Bronx County"," New York",NA
"2","36005000200","Census Tract 2, Bronx County, New York","Census Tract 2"," Bronx County"," New York",59914
"3","36005000400","Census Tract 4, Bronx County, New York","Census Tract 4"," Bronx County"," New York",82073
"4","36005001600","Census Tract 16, Bronx County, New York","Census Tract 16"," Bronx County"," New York",35802
"5","36005001900","Census Tract 19, Bronx County, New York","Census Tract 19"," Bronx County"," New York",42075
"6","36005002000","Census Tract 20, Bronx County, New York","Census Tract 20"," Bronx County"," New York",24447
"7","36005002300","Census Tract 23, Bronx County, New York","Census Tract 23"," Bronx County"," New York",18032
"8","36005002400","Census Tract 24, Bronx County, New York","Census Tract 24"," Bronx County"," New York",NA
"9","36005002500","Census Tract 25, Bronx County, New York","Census Tract 25"," Bronx County"," New York",24530
"10","36005002701","Census Tract 27.01, Bronx County, New York","Census Tract 27.01"," Bronx County"," New York",20599
"11","36005002702","Census Tract 27.02, Bronx County, New York","Census Tract 27.02"," Bronx County"," New York",14375
"12","36005002800","Census Tract 28, Bronx County, New York","Census Tract 28"," Bronx County"," New York",52479
"13","36005003100","Census Tract 31, Bronx County, New York","Census Tract 31"," Bronx County"," New York",44583
"14","36005003300","Census Tract 33, Bronx County, New York","Census Tract 33"," Bronx County"," New York",18511
"15","36005003500","Census Tract 35, Bronx County, New York","Census Tract 35"," Bronx County"," New York",30490
"16","36005003700","Census Tract 37, Bronx County, New York","Census Tract 37"," Bronx County"," New York",NA
"17","36005003800","Census Tract 38, Bronx County, New York","Census Tract 38"," Bronx County"," New York",41438
"18","36005003900","Census Tract 39, Bronx County, New York","Census Tract 39"," Bronx County"," New York",25903
"19","36005004001","Census Tract 40.01, Bronx County, New York","Census Tract 40.01"," Bronx County"," New York",53846
"20","36005004100","Census Tract 41, Bronx County, New York","Census Tract 41"," Bronx County"," New York",18942
"21","36005004200","Census Tract 42, Bronx County, New York","Census Tract 42"," Bronx County"," New York",33016
"22","36005004300","Census Tract 43, Bronx County, New York","Census Tract 43"," Bronx County"," New York",24014
"23","36005004400","Census Tract 44, Bronx County, New York","Census Tract 44"," Bronx County"," New York",20884
"24","36005004600","Census Tract 46, Bronx County, New York","Census Tract 46"," Bronx County"," New York",32750
"25","36005004800","Census Tract 48, Bronx County, New York","Census Tract 48"," Bronx County"," New York",33644
"26","36005005001","Census Tract 50.01, Bronx County, New York","Census Tract 50.01"," Bronx County"," New York",24619
"27","36005005002","Census Tract 50.02, Bronx County, New York","Census Tract 50.02"," Bronx County"," New York",26534
"28","36005005100","Census Tract 51, Bronx County, New York","Census Tract 51"," Bronx County"," New York",16844
"29","36005005200","Census Tract 52, Bronx County, New York","Census Tract 52"," Bronx County"," New York",20833
"30","36005005300","Census Tract 53, Bronx County, New York","Census Tract 53"," Bronx County"," New York",16210
"31","36005005400","Census Tract 54, Bronx County, New York","Census Tract 54"," Bronx County"," New York",34167
"32","36005005600","Census Tract 56, Bronx County, New York","Census Tract 56"," Bronx County"," New York",22750
"33","36005005902","Census Tract 59.02, Bronx County, New York","Census Tract 59.02"," Bronx County"," New York",29800
"34","36005006000","Census Tract 60, Bronx County, New York","Census Tract 60"," Bronx County"," New York",33828
"35","36005006100","Census Tract 61, Bronx County, New York","Census Tract 61"," Bronx County"," New York",46554
"36","36005006200","Census Tract 62, Bronx County, New York","Census Tract 62"," Bronx County"," New York",26184
"37","36005006300","Census Tract 63, Bronx County, New York","Census Tract 63"," Bronx County"," New York",35827
"38","36005006400","Census Tract 64, Bronx County, New York","Census Tract 64"," Bronx County"," New York",34604
"39","36005006500","Census Tract 65, Bronx County, New York","Census Tract 65"," Bronx County"," New York",23737
"40","36005006700","Census Tract 67, Bronx County, New York","Census Tract 67"," Bronx County"," New York",22662
"41","36005006800","Census Tract 68, Bronx County, New York","Census Tract 68"," Bronx County"," New York",52228
"42","36005006900","Census Tract 69, Bronx County, New York","Census Tract 69"," Bronx County"," New York",30089
"43","36005007000","Census Tract 70, Bronx County, New York","Census Tract 70"," Bronx County"," New York",39662
"44","36005007100","Census Tract 71, Bronx County, New York","Census Tract 71"," Bronx County"," New York",41875
"45","36005007200","Census Tract 72, Bronx County, New York","Census Tract 72"," Bronx County"," New York",39154
"46","36005007300","Census Tract 73, Bronx County, New York","Census Tract 73"," Bronx County"," New York",20595
"47","36005007400","Census Tract 74, Bronx County, New York","Census Tract 74"," Bronx County"," New York",38490
"48","36005007500","Census Tract 75, Bronx County, New York","Census Tract 75"," Bronx County"," New York",30577
"49","36005007600","Census Tract 76, Bronx County, New York","Census Tract 76"," Bronx County"," New York",35369
"50","36005007700","Census Tract 77, Bronx County, New York","Census Tract 77"," Bronx County"," New York",39934
"51","36005007800","Census Tract 78, Bronx County, New York","Census Tract 78"," Bronx County"," New York",44144
"52","36005007900","Census Tract 79, Bronx County, New York","Census Tract 79"," Bronx County"," New York",25589
"53","36005008300","Census Tract 83, Bronx County, New York","Census Tract 83"," Bronx County"," New York",29939
"54","36005008400","Census Tract 84, Bronx County, New York","Census Tract 84"," Bronx County"," New York",83605
"55","36005008500","Census Tract 85, Bronx County, New York","Census Tract 85"," Bronx County"," New York",30158
"56","36005008600","Census Tract 86, Bronx County, New York","Census Tract 86"," Bronx County"," New York",23559
"57","36005008700","Census Tract 87, Bronx County, New York","Census Tract 87"," Bronx County"," New York",26378
"58","36005008900","Census Tract 89, Bronx County, New York","Census Tract 89"," Bronx County"," New York",24816
"59","36005009000","Census Tract 90, Bronx County, New York","Census Tract 90"," Bronx County"," New York",26771
"60","36005009200","Census Tract 92, Bronx County, New York","Census Tract 92"," Bronx County"," New York",46421
